Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01000036,One-person household,96
E01000036,Married or civil partnership couple household,248
E01000036,Cohabiting couple household,40
E01000036,Lone parent household,71
E01000036,Multi-person household,16
E01000037,Does not apply,0
E01000037,One-person household,128
E01000037,Married or civil partnership couple household,318
E01000037,Cohabiting couple household,44
E01000037,Lone parent household,84
E01000037,Multi-person household,16
E01000038,Does not apply,0
E01000038,One-person household,123
E01000038,Married or civil partnership couple household,284
E01000038,Cohabiting couple household,63
E01000038,Lone parent household,78
E01000038,Multi-person household,17
E01000039,Does not apply,0
E01000039,One-person household,164
E01000039,Married or civil partnership couple household,275
E01000039,Cohabiting couple household,86
E01000039,Lone parent household,108
E01000039,Multi-person household,9
E01000040,Does not apply,0
E01000040,One-person household,154
E01000040,Married or civil partnership couple household,250
E01000040,Cohabiting couple household,81
E01000040,Lone parent household,142
E01000040,Multi-person household,30
E01000041,Does not apply,0
E01000041,One-person household,108
E01000041,Married or civil partnership couple household,280
E01000041,Cohabiting couple household,56
E01000041,Lone parent household,137
E01000041,Multi-person household,19
E01000042,Does not apply,0
E01000042,One-person household,189
E01000042,Married or civil partnership couple household,236
E01000042,Cohabiting couple household,49
E01000042,Lone parent household,153
E01000042,Multi-person household,28
E01000043,Does not apply,0
E01000043,One-person household,102
E01000043,Married or civil partnership couple household,221
E01000043,Cohabiting couple household,42
E01000043,Lone parent household,88
E01000043,Multi-person household,16
E01000044,Does not apply,0
E01000044,One-person household,194
E01000044,Married or civil partnership couple household,279
E01000044,Cohabiting couple household,57
E01000044,Lone parent household,106
E01000044,Multi-person household,26
E01000045,Does not apply,0
E01000045,One-person household,117
E01000045,Married or civil partnership couple household,240
E01000045,Cohabiting couple household,70
E01000045,Lone parent household,131
E01000045,Multi-person household,21
E01000046,Does not apply,0
E01000046,One-person household,143
E01000046,Married or civil partnership couple household,265
E01000046,Cohabiting couple household,83
E01000046,Lone parent household,148
E01000046,Multi-person household,23
E01000049,Does not apply,0
E01000049,One-person household,116
E01000049,Married or civil partnership couple household,217
E01000049,Cohabiting couple household,47
E01000049,Lone parent household,170
E01000049,Multi-person household,25
E01000050,Does not apply,0
E01000050,One-person household,156
E01000050,Married or civil partnership couple household,266
E01000050,Cohabiting couple household,57
E01000050,Lone parent household,127
E01000050,Multi-person household,25
E01000051,Does not apply,0
E01000051,One-person household,132
E01000051,Married or civil partnership couple household,167
E01000051,Cohabiting couple household,56
E01000051,Lone parent household,67
E01000051,Multi-person household,11
E01000052,Does not apply,0
E01000052,One-person household,167
E01000052,Married or civil partnership couple household,372
E01000052,Cohabiting couple household,66
E01000052,Lone parent household,159
E01000052,Multi-person household,29
E01000053,Does not apply,0
E01000053,One-person household,233
E01000053,Married or civil partnership couple household,194
E01000053,Cohabiting couple household,65
E01000053,Lone parent household,145
E01000053,Multi-person household,13
E01000054,Does not apply,0
E01000054,One-person household,124
E01000054,Married or civil partnership couple household,264
E01000054,Cohabiting couple household,70
E01000054,Lone parent household,169
E01000054,Multi-person household,13
E01000055,Does not apply,0
E01000055,One-person household,90
E01000055,Married or civil partnership couple household,237
E01000055,Cohabiting couple household,63
E01000055,Lone parent household,161
E01000055,Multi-person household,17
E01000056,Does not apply,0
E01000056,One-person household,112
E01000056,Married or civil partnership couple household,215
E01000056,Cohabiting couple household,69
E01000056,Lone parent household,155
E01000056,Multi-person household,9
E01000057,Does not apply,0
E01000057,One-person household,95
E01000057,Married or civil partnership couple household,207
E01000057,Cohabiting couple household,53
E01000057,Lone parent household,162
E01000057,Multi-person household,13
E01000058,Does not apply,0
E01000058,One-person household,121
E01000058,Married or civil partnership couple household,319
E01000058,Cohabiting couple household,67
E01000058,Lone parent household,169
E01000058,Multi-person household,25
E01000059,Does not apply,0
E01000059,One-person household,126
E01000059,Married or civil partnership couple household,219
E01000059,Cohabiting couple household,71
E01000059,Lone parent household,138
E01000059,Multi-person household,17
E01000060,Does not apply,0
E01000060,One-person household,248
E01000060,Married or civil partnership couple household,246
E01000060,Cohabiting couple household,75
E01000060,Lone parent household,224
E01000060,Multi-person household,17
E01000061,Does not apply,0
E01000061,One-person household,269
E01000061,Married or civil partnership couple household,188
E01000061,Cohabiting couple household,67
E01000061,Lone parent household,212
E01000061,Multi-person household,15
E01000062,Does not apply,0
E01000062,One-person household,188
E01000062,Married or civil partnership couple household,301
E01000062,Cohabiting couple household,75
E01000062,Lone parent household,181
E01000062,Multi-person household,22
E01000063,Does not apply,0
E01000063,One-person household,142
E01000063,Married or civil partnership couple household,244
E01000063,Cohabiting couple household,73
E01000063,Lone parent household,148
E01000063,Multi-person household,16
E01000064,Does not apply,0
E01000064,One-person household,212
E01000064,Married or civil partnership couple household,311
E01000064,Cohabiting couple household,75
E01000064,Lone parent household,169
E01000064,Multi-person household,28
E01000065,Does not apply,0
E01000065,One-person household,282
E01000065,Married or civil partnership couple household,248
E01000065,Cohabiting couple household,85
E01000065,Lone parent household,146
E01000065,Multi-person household,23
E01000066,Does not apply,0
E01000066,One-person household,198
E01000066,Married or civil partnership couple household,361
E01000066,Cohabiting couple household,36
E01000066,Lone parent household,96
E01000066,Multi-person household,18
E01000067,Does not apply,0
E01000067,One-person household,126
E01000067,Married or civil partnership couple household,353
E01000067,Cohabiting couple household,45
E01000067,Lone parent household,118
E01000067,Multi-person household,19
E01000068,Does not apply,0
E01000068,One-person household,64
E01000068,Married or civil partnership couple household,262
E01000068,Cohabiting couple household,29
E01000068,Lone parent household,66
E01000068,Multi-person household,58
E01000069,Does not apply,0
E01000069,One-person household,83
E01000069,Married or civil partnership couple household,330
E01000069,Cohabiting couple household,37
E01000069,Lone parent household,71
E01000069,Multi-person household,15
E01000070,Does not apply,0
E01000070,One-person household,102
E01000070,Married or civil partnership couple household,352
E01000070,Cohabiting couple household,34
E01000070,Lone parent household,73
E01000070,Multi-person household,17
E01000071,Does not apply,0
E01000071,One-person household,186
E01000071,Married or civil partnership couple household,421
E01000071,Cohabiting couple household,59
E01000071,Lone parent household,116
E01000071,Multi-person household,24
E01000072,Does not apply,0
E01000072,One-person household,161
E01000072,Married or civil partnership couple household,247
E01000072,Cohabiting couple household,82
E01000072,Lone parent household,231
E01000072,Multi-person household,18
E01000073,Does not apply,0
E01000073,One-person household,180
E01000073,Married or civil partnership couple household,258
E01000073,Cohabiting couple household,66
E01000073,Lone parent household,148
E01000073,Multi-person household,13
E01000074,Does not apply,0
E01000074,One-person household,162
E01000074,Married or civil partnership couple household,234
E01000074,Cohabiting couple household,65
E01000074,Lone parent household,154
E01000074,Multi-person household,10
E01000075,Does not apply,0
E01000075,One-person household,125
E01000075,Married or civil partnership couple household,292
E01000075,Cohabiting couple household,71
E01000075,Lone parent household,133
E01000075,Multi-person household,19
E01000076,Does not apply,0
E01000076,One-person household,228
E01000076,Married or civil partnership couple household,274
E01000076,Cohabiting couple household,83
E01000076,Lone parent household,184
E01000076,Multi-person household,25
E01000077,Does not apply,0
E01000077,One-person household,138
E01000077,Married or civil partnership couple household,237
E01000077,Cohabiting couple household,66
E01000077,Lone parent household,133
E01000077,Multi-person household,19
E01000078,Does not apply,0
E01000078,One-person household,115
E01000078,Married or civil partnership couple household,259
E01000078,Cohabiting couple household,74
E01000078,Lone parent household,162
E01000078,Multi-person household,14
E01000079,Does not apply,0
E01000079,One-person household,176
E01000079,Married or civil partnership couple household,246
E01000079,Cohabiting couple household,65
E01000079,Lone parent household,125
E01000079,Multi-person household,10
E01000080,Does not apply,0
E01000080,One-person household,116
E01000080,Married or civil partnership couple household,227
E01000080,Cohabiting couple household,66
E01000080,Lone parent household,184
E01000080,Multi-person household,15
E01000081,Does not apply,0
E01000081,One-person household,137
E01000081,Married or civil partnership couple household,288
E01000081,Cohabiting couple household,72
E01000081,Lone parent household,142
E01000081,Multi-person household,14
E01000082,Does not apply,0
E01000082,One-person household,168
E01000082,Married or civil partnership couple household,262
E01000082,Cohabiting couple household,105
E01000082,Lone parent household,145
E01000082,Multi-person household,17
E01000083,Does not apply,0
E01000083,One-person household,117
E01000083,Married or civil partnership couple household,269
E01000083,Cohabiting couple household,68
E01000083,Lone parent household,159
E01000083,Multi-person household,21
E01000084,Does not apply,0
E01000084,One-person household,111
E01000084,Married or civil partnership couple household,191
E01000084,Cohabiting couple household,54
E01000084,Lone parent household,118
E01000084,Multi-person household,26
E01000085,Does not apply,0
E01000085,One-person household,141
E01000085,Married or civil partnership couple household,202
E01000085,Cohabiting couple household,74
E01000085,Lone parent household,139
E01000085,Multi-person household,20
E01000086,Does not apply,0
E01000086,One-person household,97
E01000086,Married or civil partnership couple household,187
E01000086,Cohabiting couple household,49
E01000086,Lone parent household,142
E01000086,Multi-person household,15
E01000087,Does not apply,0
E01000087,One-person household,91
E01000087,Married or civil partnership couple household,204
E01000087,Cohabiting couple household,69
E01000087,Lone parent household,128
E01000087,Multi-person household,26
E01000088,Does not apply,0
E01000088,One-person household,120
E01000088,Married or civil partnership couple household,262
E01000088,Cohabiting couple household,59
E01000088,Lone parent household,143
E01000088,Multi-person household,20
E01000089,Does not apply,0
E01000089,One-person household,112
E01000089,Married or civil partnership couple household,246
E01000089,Cohabiting couple household,68
E01000089,Lone parent household,158
E01000089,Multi-person household,18
E01000090,Does not apply,0
E01000090,One-person household,107
E01000090,Married or civil partnership couple household,225
E01000090,Cohabiting couple household,57
E01000090,Lone parent household,149
E01000090,Multi-person household,20
E01000091,Does not apply,0
E01000091,One-person household,172
E01000091,Married or civil partnership couple household,257
E01000091,Cohabiting couple household,60
E01000091,Lone parent household,172
E01000091,Multi-person household,11
E01000093,Does not apply,0
E01000093,One-person household,215
E01000093,Married or civil partnership couple household,196
E01000093,Cohabiting couple household,72
E01000093,Lone parent household,160
E01000093,Multi-person household,21
E01000094,Does not apply,0
E01000094,One-person household,163
E01000094,Married or civil partnership couple household,312
E01000094,Cohabiting couple household,112
E01000094,Lone parent household,232
E01000094,Multi-person household,27
E01000095,Does not apply,0
E01000095,One-person household,141
E01000095,Married or civil partnership couple household,285
E01000095,Cohabiting couple household,101
E01000095,Lone parent household,197
E01000095,Multi-person household,12
E01000096,Does not apply,0
E01000096,One-person household,75
E01000096,Married or civil partnership couple household,203
E01000096,Cohabiting couple household,42
E01000096,Lone parent household,149
E01000096,Multi-person household,14
E01000097,Does not apply,0
E01000097,One-person household,200
E01000097,Married or civil partnership couple household,276
E01000097,Cohabiting couple household,69
E01000097,Lone parent household,129
E01000097,Multi-person household,11
E01000098,Does not apply,0
E01000098,One-person household,147
E01000098,Married or civil partnership couple household,269
E01000098,Cohabiting couple household,73
E01000098,Lone parent household,119
E01000098,Multi-person household,14
E01000099,Does not apply,0
E01000099,One-person household,194
E01000099,Married or civil partnership couple household,424
E01000099,Cohabiting couple household,100
E01000099,Lone parent household,193
E01000099,Multi-person household,23
E01000100,Does not apply,0
E01000100,One-person household,118
E01000100,Married or civil partnership couple household,250
E01000100,Cohabiting couple household,76
E01000100,Lone parent household,192
E01000100,Multi-person household,20
E01000101,Does not apply,0
E01000101,One-person household,133
E01000101,Married or civil partnership couple household,238
E01000101,Cohabiting couple household,72
E01000101,Lone parent household,119
E01000101,Multi-person household,20
E01000102,Does not apply,0
E01000102,One-person household,143
E01000102,Married or civil partnership couple household,234
E01000102,Cohabiting couple household,71
E01000102,Lone parent household,169
E01000102,Multi-person household,11
E01000103,Does not apply,0
E01000103,One-person household,91
E01000103,Married or civil partnership couple household,239
E01000103,Cohabiting couple household,56
E01000103,Lone parent household,127
E01000103,Multi-person household,20
E01000104,Does not apply,0
E01000104,One-person household,221
E01000104,Married or civil partnership couple household,205
E01000104,Cohabiting couple household,88
E01000104,Lone parent household,161
E01000104,Multi-person household,18
E01000105,Does not apply,0
E01000105,One-person household,320
E01000105,Married or civil partnership couple household,268
E01000105,Cohabiting couple household,101
E01000105,Lone parent household,213
E01000105,Multi-person household,32
E01000106,Does not apply,0
E01000106,One-person household,306
E01000106,Married or civil partnership couple household,249
E01000106,Cohabiting couple household,84
E01000106,Lone parent household,215
E01000106,Multi-person household,18
E01000107,Does not apply,0
E01000107,One-person household,126
E01000107,Married or civil partnership couple household,278
E01000107,Cohabiting couple household,58
E01000107,Lone parent household,122
E01000107,Multi-person household,18
E01000108,Does not apply,0
E01000108,One-person household,167
E01000108,Married or civil partnership couple household,277
E01000108,Cohabiting couple household,76
E01000108,Lone parent household,139
E01000108,Multi-person household,24
E01000110,Does not apply,0
E01000110,One-person household,98
E01000110,Married or civil partnership couple household,270
E01000110,Cohabiting couple household,43
E01000110,Lone parent household,88
E01000110,Multi-person household,25
E01000111,Does not apply,0
E01000111,One-person household,241
E01000111,Married or civil partnership couple household,284
E01000111,Cohabiting couple household,56
E01000111,Lone parent household,152
E01000111,Multi-person household,14
E01000112,Does not apply,0
E01000112,One-person household,182
E01000112,Married or civil partnership couple household,288
E01000112,Cohabiting couple household,68
E01000112,Lone parent household,134
E01000112,Multi-person household,28
E01000113,Does not apply,0
E01000113,One-person household,121
E01000113,Married or civil partnership couple household,304
E01000113,Cohabiting couple household,51
E01000113,Lone parent household,148
E01000113,Multi-person household,19
E01000114,Does not apply,0
E01000114,One-person household,146
E01000114,Married or civil partnership couple household,373
E01000114,Cohabiting couple household,69
E01000114,Lone parent household,147
E01000114,Multi-person household,22
E01000115,Does not apply,0
E01000115,One-person household,79
E01000115,Married or civil partnership couple household,337
E01000115,Cohabiting couple household,22
E01000115,Lone parent household,37
E01000115,Multi-person household,5
E01000116,Does not apply,0
E01000116,One-person household,135
E01000116,Married or civil partnership couple household,351
E01000116,Cohabiting couple household,41
E01000116,Lone parent household,74
E01000116,Multi-person household,17
E01000117,Does not apply,0
E01000117,One-person household,180
E01000117,Married or civil partnership couple household,351
E01000117,Cohabiting couple household,52
E01000117,Lone parent household,95
E01000117,Multi-person household,16
E01000118,Does not apply,0
E01000118,One-person household,175
E01000118,Married or civil partnership couple household,393
E01000118,Cohabiting couple household,68
E01000118,Lone parent household,102
E01000118,Multi-person household,13
E01000119,Does not apply,0
E01000119,One-person household,99
E01000119,Married or civil partnership couple household,382
E01000119,Cohabiting couple household,42
E01000119,Lone parent household,90
E01000119,Multi-person household,16
E01000120,Does not apply,0
E01000120,One-person household,79
E01000120,Married or civil partnership couple household,324
E01000120,Cohabiting couple household,34
E01000120,Lone parent household,50
E01000120,Multi-person household,10
E01000121,Does not apply,0
E01000121,One-person household,115
E01000121,Married or civil partnership couple household,203
E01000121,Cohabiting couple household,47
E01000121,Lone parent household,146
E01000121,Multi-person household,14
E01000122,Does not apply,0
E01000122,One-person household,95
E01000122,Married or civil partnership couple household,313
E01000122,Cohabiting couple household,35
E01000122,Lone parent household,64
E01000122,Multi-person household,12
E01000123,Does not apply,0
E01000123,One-person household,204
E01000123,Married or civil partnership couple household,330
E01000123,Cohabiting couple household,77
E01000123,Lone parent household,103
E01000123,Multi-person household,17
E01000124,Does not apply,0
E01000124,One-person household,303
E01000124,Married or civil partnership couple household,223
E01000124,Cohabiting couple household,94
E01000124,Lone parent household,133
E01000124,Multi-person household,42
E01000126,Does not apply,0
E01000126,One-person household,191
E01000126,Married or civil partnership couple household,304
E01000126,Cohabiting couple household,69
E01000126,Lone parent household,168
E01000126,Multi-person household,37
E01000127,Does not apply,0
E01000127,One-person household,109
E01000127,Married or civil partnership couple household,236
E01000127,Cohabiting couple household,37
E01000127,Lone parent household,112
E01000127,Multi-person household,22
E01000128,Does not apply,0
E01000128,One-person household,115
E01000128,Married or civil partnership couple household,325
E01000128,Cohabiting couple household,41
E01000128,Lone parent household,132
E01000128,Multi-person household,23
E01000129,Does not apply,0
E01000129,One-person household,150
E01000129,Married or civil partnership couple household,207
E01000129,Cohabiting couple household,40
E01000129,Lone parent household,142
E01000129,Multi-person household,35
E01000130,Does not apply,0
E01000130,One-person household,148
E01000130,Married or civil partnership couple household,281
E01000130,Cohabiting couple household,47
E01000130,Lone parent household,142
E01000130,Multi-person household,39
E01000131,Does not apply,0
E01000131,One-person household,160
E01000131,Married or civil partnership couple household,308
E01000131,Cohabiting couple household,64
E01000131,Lone parent household,137
E01000131,Multi-person household,44
E01000132,Does not apply,0
E01000132,One-person household,80
E01000132,Married or civil partnership couple household,235
E01000132,Cohabiting couple household,39
E01000132,Lone parent household,133
E01000132,Multi-person household,18
E01000133,Does not apply,0
E01000133,One-person household,152
E01000133,Married or civil partnership couple household,235
E01000133,Cohabiting couple household,41
E01000133,Lone parent household,133
E01000133,Multi-person household,17
E01000134,Does not apply,0
E01000134,One-person household,156
E01000134,Married or civil partnership couple household,274
E01000134,Cohabiting couple household,52
E01000134,Lone parent household,133
E01000134,Multi-person household,20
E01000135,Does not apply,0
E01000135,One-person household,181
E01000135,Married or civil partnership couple household,312
E01000135,Cohabiting couple household,51
E01000135,Lone parent household,53
E01000135,Multi-person household,27
E01000136,Does not apply,0
E01000136,One-person household,148
E01000136,Married or civil partnership couple household,289
E01000136,Cohabiting couple household,46
E01000136,Lone parent household,57
E01000136,Multi-person household,24
E01000137,Does not apply,0
E01000137,One-person household,189
E01000137,Married or civil partnership couple household,192
E01000137,Cohabiting couple household,52
E01000137,Lone parent household,206
E01000137,Multi-person household,34
E01000138,Does not apply,0
E01000138,One-person household,244
E01000138,Married or civil partnership couple household,237
E01000138,Cohabiting couple household,57
E01000138,Lone parent household,88
E01000138,Multi-person household,28
E01000139,Does not apply,0
E01000139,One-person household,143
E01000139,Married or civil partnership couple household,245
E01000139,Cohabiting couple household,57
E01000139,Lone parent household,58
E01000139,Multi-person household,40
E01000140,Does not apply,0
E01000140,One-person household,277
E01000140,Married or civil partnership couple household,300
E01000140,Cohabiting couple household,86
E01000140,Lone parent household,103
E01000140,Multi-person household,101
E01000141,Does not apply,0
E01000141,One-person household,287
E01000141,Married or civil partnership couple household,226
E01000141,Cohabiting couple household,83
E01000141,Lone parent household,120
E01000141,Multi-person household,72
E01000142,Does not apply,0
E01000142,One-person household,283
E01000142,Married or civil partnership couple household,335
E01000142,Cohabiting couple household,105
E01000142,Lone parent household,126
E01000142,Multi-person household,44
E01000143,Does not apply,0
E01000143,One-person household,224
E01000143,Married or civil partnership couple household,174
E01000143,Cohabiting couple household,63
E01000143,Lone parent household,176
E01000143,Multi-person household,42
E01000144,Does not apply,0
E01000144,One-person household,320
E01000144,Married or civil partnership couple household,247
E01000144,Cohabiting couple household,65
E01000144,Lone parent household,58
E01000144,Multi-person household,53
E01000145,Does not apply,0
E01000145,One-person household,114
E01000145,Married or civil partnership couple household,258
E01000145,Cohabiting couple household,17
E01000145,Lone parent household,54
E01000145,Multi-person household,46
E01000146,Does not apply,0
E01000146,One-person household,346
E01000146,Married or civil partnership couple household,267
E01000146,Cohabiting couple household,101
E01000146,Lone parent household,61
E01000146,Multi-person household,92
E01000147,Does not apply,0
E01000147,One-person household,111
E01000147,Married or civil partnership couple household,330
E01000147,Cohabiting couple household,35
E01000147,Lone parent household,59
E01000147,Multi-person household,26
E01000150,Does not apply,0
E01000150,One-person household,186
E01000150,Married or civil partnership couple household,386
E01000150,Cohabiting couple household,69
E01000150,Lone parent household,108
E01000150,Multi-person household,26
E01000151,Does not apply,0
E01000151,One-person household,218
E01000151,Married or civil partnership couple household,161
E01000151,Cohabiting couple household,32
E01000151,Lone parent household,227
E01000151,Multi-person household,18
E01000152,Does not apply,0
E01000152,One-person household,182
E01000152,Married or civil partnership couple household,395
E01000152,Cohabiting couple household,108
E01000152,Lone parent household,200
E01000152,Multi-person household,43
E01000153,Does not apply,0
E01000153,One-person household,245
E01000153,Married or civil partnership couple household,248
E01000153,Cohabiting couple household,62
E01000153,Lone parent household,165
E01000153,Multi-person household,22
E01000154,Does not apply,0
E01000154,One-person household,188
E01000154,Married or civil partnership couple household,255
E01000154,Cohabiting couple household,71
E01000154,Lone parent household,152
E01000154,Multi-person household,39
E01000156,Does not apply,0
E01000156,One-person household,177
E01000156,Married or civil partnership couple household,335
E01000156,Cohabiting couple household,95
E01000156,Lone parent household,102
E01000156,Multi-person household,40
E01000157,Does not apply,0
E01000157,One-person household,218
E01000157,Married or civil partnership couple household,233
E01000157,Cohabiting couple household,90
E01000157,Lone parent household,106
E01000157,Multi-person household,20
E01000158,Does not apply,0
E01000158,One-person household,125
E01000158,Married or civil partnership couple household,235
E01000158,Cohabiting couple household,66
E01000158,Lone parent household,103
E01000158,Multi-person household,17
E01000159,Does not apply,0
E01000159,One-person household,140
E01000159,Married or civil partnership couple household,339
E01000159,Cohabiting couple household,54
E01000159,Lone parent household,104
E01000159,Multi-person household,12
E01000160,Does not apply,0
E01000160,One-person household,232
E01000160,Married or civil partnership couple household,327
E01000160,Cohabiting couple household,103
E01000160,Lone parent household,103
E01000160,Multi-person household,36
E01000161,Does not apply,0
E01000161,One-person household,235
E01000161,Married or civil partnership couple household,326
E01000161,Cohabiting couple household,80
E01000161,Lone parent household,132
E01000161,Multi-person household,35
E01000162,Does not apply,0
E01000162,One-person household,137
E01000162,Married or civil partnership couple household,271
E01000162,Cohabiting couple household,42
E01000162,Lone parent household,82
E01000162,Multi-person household,19
E01000163,Does not apply,0
E01000163,One-person household,337
E01000163,Married or civil partnership couple household,199
E01000163,Cohabiting couple household,80
E01000163,Lone parent household,156
E01000163,Multi-person household,26
E01000164,Does not apply,0
E01000164,One-person household,183
E01000164,Married or civil partnership couple household,233
E01000164,Cohabiting couple household,72
E01000164,Lone parent household,142
E01000164,Multi-person household,19
E01000165,Does not apply,0
E01000165,One-person household,202
E01000165,Married or civil partnership couple household,287
E01000165,Cohabiting couple household,63
E01000165,Lone parent household,122
E01000165,Multi-person household,32
E01000166,Does not apply,0
E01000166,One-person household,191
E01000166,Married or civil partnership couple household,286
E01000166,Cohabiting couple household,60
E01000166,Lone parent household,105
E01000166,Multi-person household,10
E01000167,Does not apply,0
E01000167,One-person household,126
E01000167,Married or civil partnership couple household,218
E01000167,Cohabiting couple household,51
E01000167,Lone parent household,107
E01000167,Multi-person household,20
E01000168,Does not apply,0
E01000168,One-person household,117
E01000168,Married or civil partnership couple household,357
E01000168,Cohabiting couple household,32
E01000168,Lone parent household,44
E01000168,Multi-person household,10
E01000169,Does not apply,0
E01000169,One-person household,219
E01000169,Married or civil partnership couple household,281
