Lower layer Super Output Areas Code,Car or van availability (3 categories),Observation
E01000062,Does not apply,0
E01000062,No cars or vans in household,243
E01000062,1 or more cars or vans in household,523
E01000063,Does not apply,0
E01000063,No cars or vans in household,198
E01000063,1 or more cars or vans in household,425
E01000064,Does not apply,0
E01000064,No cars or vans in household,219
E01000064,1 or more cars or vans in household,576
E01000065,Does not apply,0
E01000065,No cars or vans in household,329
E01000065,1 or more cars or vans in household,456
E01000066,Does not apply,0
E01000066,No cars or vans in household,194
E01000066,1 or more cars or vans in household,515
E01000067,Does not apply,0
E01000067,No cars or vans in household,173
E01000067,1 or more cars or vans in household,487
E01000068,Does not apply,0
E01000068,No cars or vans in household,127
E01000068,1 or more cars or vans in household,352
E01000069,Does not apply,0
E01000069,No cars or vans in household,74
E01000069,1 or more cars or vans in household,461
E01000070,Does not apply,0
E01000070,No cars or vans in household,138
E01000070,1 or more cars or vans in household,440
E01000071,Does not apply,0
E01000071,No cars or vans in household,190
E01000071,1 or more cars or vans in household,616
E01000072,Does not apply,0
E01000072,No cars or vans in household,270
E01000072,1 or more cars or vans in household,468
E01000073,Does not apply,0
E01000073,No cars or vans in household,197
E01000073,1 or more cars or vans in household,468
E01000074,Does not apply,0
E01000074,No cars or vans in household,218
E01000074,1 or more cars or vans in household,406
E01000075,Does not apply,0
E01000075,No cars or vans in household,179
E01000075,1 or more cars or vans in household,460
E01000076,Does not apply,0
E01000076,No cars or vans in household,316
E01000076,1 or more cars or vans in household,478
E01000077,Does not apply,0
E01000077,No cars or vans in household,219
E01000077,1 or more cars or vans in household,374
E01000078,Does not apply,0
E01000078,No cars or vans in household,194
E01000078,1 or more cars or vans in household,427
E01000079,Does not apply,0
E01000079,No cars or vans in household,222
E01000079,1 or more cars or vans in household,400
E01000080,Does not apply,0
E01000080,No cars or vans in household,179
E01000080,1 or more cars or vans in household,428
E01000081,Does not apply,0
E01000081,No cars or vans in household,186
E01000081,1 or more cars or vans in household,467
E01000082,Does not apply,0
E01000082,No cars or vans in household,224
E01000082,1 or more cars or vans in household,473
E01000083,Does not apply,0
E01000083,No cars or vans in household,190
E01000083,1 or more cars or vans in household,443
E01000084,Does not apply,0
E01000084,No cars or vans in household,182
E01000084,1 or more cars or vans in household,320
E01000085,Does not apply,0
E01000085,No cars or vans in household,238
E01000085,1 or more cars or vans in household,338
E01000086,Does not apply,0
E01000086,No cars or vans in household,174
E01000086,1 or more cars or vans in household,314
E01000087,Does not apply,0
E01000087,No cars or vans in household,169
E01000087,1 or more cars or vans in household,349
E01000088,Does not apply,0
E01000088,No cars or vans in household,191
E01000088,1 or more cars or vans in household,412
E01000089,Does not apply,0
E01000089,No cars or vans in household,166
E01000089,1 or more cars or vans in household,435
E01000090,Does not apply,0
E01000090,No cars or vans in household,184
E01000090,1 or more cars or vans in household,375
E01000091,Does not apply,0
E01000091,No cars or vans in household,260
E01000091,1 or more cars or vans in household,412
E01000093,Does not apply,0
E01000093,No cars or vans in household,307
E01000093,1 or more cars or vans in household,357
E01000094,Does not apply,0
E01000094,No cars or vans in household,272
E01000094,1 or more cars or vans in household,571
E01000095,Does not apply,0
E01000095,No cars or vans in household,221
E01000095,1 or more cars or vans in household,515
E01000096,Does not apply,0
E01000096,No cars or vans in household,160
E01000096,1 or more cars or vans in household,324
E01000097,Does not apply,0
E01000097,No cars or vans in household,245
E01000097,1 or more cars or vans in household,440
E01000098,Does not apply,0
E01000098,No cars or vans in household,176
E01000098,1 or more cars or vans in household,446
E01000099,Does not apply,0
E01000099,No cars or vans in household,231
E01000099,1 or more cars or vans in household,703
E01000100,Does not apply,0
E01000100,No cars or vans in household,216
E01000100,1 or more cars or vans in household,440
E01000101,Does not apply,0
E01000101,No cars or vans in household,192
E01000101,1 or more cars or vans in household,390
E01000102,Does not apply,0
E01000102,No cars or vans in household,206
E01000102,1 or more cars or vans in household,423
E01000103,Does not apply,0
E01000103,No cars or vans in household,129
E01000103,1 or more cars or vans in household,404
E01000104,Does not apply,0
E01000104,No cars or vans in household,252
E01000104,1 or more cars or vans in household,443
E01000105,Does not apply,0
E01000105,No cars or vans in household,429
E01000105,1 or more cars or vans in household,506
E01000106,Does not apply,0
E01000106,No cars or vans in household,374
E01000106,1 or more cars or vans in household,498
E01000107,Does not apply,0
E01000107,No cars or vans in household,153
E01000107,1 or more cars or vans in household,449
E01000108,Does not apply,0
E01000108,No cars or vans in household,228
E01000108,1 or more cars or vans in household,457
E01000110,Does not apply,0
E01000110,No cars or vans in household,99
E01000110,1 or more cars or vans in household,423
E01000111,Does not apply,0
E01000111,No cars or vans in household,253
E01000111,1 or more cars or vans in household,493
E01000112,Does not apply,0
E01000112,No cars or vans in household,211
E01000112,1 or more cars or vans in household,489
E01000113,Does not apply,0
E01000113,No cars or vans in household,210
E01000113,1 or more cars or vans in household,433
E01000114,Does not apply,0
E01000114,No cars or vans in household,187
E01000114,1 or more cars or vans in household,570
E01000115,Does not apply,0
E01000115,No cars or vans in household,54
E01000115,1 or more cars or vans in household,427
E01000116,Does not apply,0
E01000116,No cars or vans in household,105
E01000116,1 or more cars or vans in household,513
E01000117,Does not apply,0
E01000117,No cars or vans in household,128
E01000117,1 or more cars or vans in household,566
E01000118,Does not apply,0
E01000118,No cars or vans in household,126
E01000118,1 or more cars or vans in household,625
E01000119,Does not apply,0
E01000119,No cars or vans in household,90
E01000119,1 or more cars or vans in household,539
E01000120,Does not apply,0
E01000120,No cars or vans in household,54
E01000120,1 or more cars or vans in household,443
E01000121,Does not apply,0
E01000121,No cars or vans in household,142
E01000121,1 or more cars or vans in household,384
E01000122,Does not apply,0
E01000122,No cars or vans in household,75
E01000122,1 or more cars or vans in household,444
E01000123,Does not apply,0
E01000123,No cars or vans in household,159
E01000123,1 or more cars or vans in household,572
E01000124,Does not apply,0
E01000124,No cars or vans in household,329
E01000124,1 or more cars or vans in household,464
E01000126,Does not apply,0
E01000126,No cars or vans in household,268
E01000126,1 or more cars or vans in household,501
E01000127,Does not apply,0
E01000127,No cars or vans in household,173
E01000127,1 or more cars or vans in household,346
E01000128,Does not apply,0
E01000128,No cars or vans in household,161
E01000128,1 or more cars or vans in household,474
E01000129,Does not apply,0
E01000129,No cars or vans in household,278
E01000129,1 or more cars or vans in household,296
E01000130,Does not apply,0
E01000130,No cars or vans in household,206
E01000130,1 or more cars or vans in household,452
E01000131,Does not apply,0
E01000131,No cars or vans in household,232
E01000131,1 or more cars or vans in household,481
E01000132,Does not apply,0
E01000132,No cars or vans in household,151
E01000132,1 or more cars or vans in household,354
E01000133,Does not apply,0
E01000133,No cars or vans in household,197
E01000133,1 or more cars or vans in household,381
E01000134,Does not apply,0
E01000134,No cars or vans in household,230
E01000134,1 or more cars or vans in household,405
E01000135,Does not apply,0
E01000135,No cars or vans in household,180
E01000135,1 or more cars or vans in household,446
E01000136,Does not apply,0
E01000136,No cars or vans in household,134
E01000136,1 or more cars or vans in household,430
E01000137,Does not apply,0
E01000137,No cars or vans in household,317
E01000137,1 or more cars or vans in household,356
E01000138,Does not apply,0
E01000138,No cars or vans in household,255
E01000138,1 or more cars or vans in household,399
E01000139,Does not apply,0
E01000139,No cars or vans in household,208
E01000139,1 or more cars or vans in household,335
E01000140,Does not apply,0
E01000140,No cars or vans in household,401
E01000140,1 or more cars or vans in household,468
E01000141,Does not apply,0
E01000141,No cars or vans in household,486
E01000141,1 or more cars or vans in household,302
E01000142,Does not apply,0
E01000142,No cars or vans in household,351
E01000142,1 or more cars or vans in household,541
E01000143,Does not apply,0
E01000143,No cars or vans in household,346
E01000143,1 or more cars or vans in household,332
E01000144,Does not apply,0
E01000144,No cars or vans in household,395
E01000144,1 or more cars or vans in household,350
E01000145,Does not apply,0
E01000145,No cars or vans in household,134
E01000145,1 or more cars or vans in household,354
E01000146,Does not apply,0
E01000146,No cars or vans in household,498
E01000146,1 or more cars or vans in household,370
E01000147,Does not apply,0
E01000147,No cars or vans in household,93
E01000147,1 or more cars or vans in household,467
E01000150,Does not apply,0
E01000150,No cars or vans in household,206
E01000150,1 or more cars or vans in household,569
E01000151,Does not apply,0
E01000151,No cars or vans in household,329
E01000151,1 or more cars or vans in household,325
E01000152,Does not apply,0
E01000152,No cars or vans in household,271
E01000152,1 or more cars or vans in household,657
E01000153,Does not apply,0
E01000153,No cars or vans in household,287
E01000153,1 or more cars or vans in household,455
E01000154,Does not apply,0
E01000154,No cars or vans in household,310
E01000154,1 or more cars or vans in household,397
E01000156,Does not apply,0
E01000156,No cars or vans in household,247
E01000156,1 or more cars or vans in household,501
E01000157,Does not apply,0
E01000157,No cars or vans in household,234
E01000157,1 or more cars or vans in household,434
E01000158,Does not apply,0
E01000158,No cars or vans in household,155
E01000158,1 or more cars or vans in household,391
E01000159,Does not apply,0
E01000159,No cars or vans in household,124
E01000159,1 or more cars or vans in household,525
E01000160,Does not apply,0
E01000160,No cars or vans in household,225
E01000160,1 or more cars or vans in household,577
E01000161,Does not apply,0
E01000161,No cars or vans in household,252
E01000161,1 or more cars or vans in household,556
E01000162,Does not apply,0
E01000162,No cars or vans in household,130
E01000162,1 or more cars or vans in household,421
E01000163,Does not apply,0
E01000163,No cars or vans in household,363
E01000163,1 or more cars or vans in household,436
E01000164,Does not apply,0
E01000164,No cars or vans in household,224
E01000164,1 or more cars or vans in household,426
E01000165,Does not apply,0
E01000165,No cars or vans in household,179
E01000165,1 or more cars or vans in household,527
E01000166,Does not apply,0
E01000166,No cars or vans in household,109
E01000166,1 or more cars or vans in household,544
E01000167,Does not apply,0
E01000167,No cars or vans in household,104
E01000167,1 or more cars or vans in household,418
E01000168,Does not apply,0
E01000168,No cars or vans in household,61
E01000168,1 or more cars or vans in household,497
E01000169,Does not apply,0
E01000169,No cars or vans in household,139
E01000169,1 or more cars or vans in household,555
E01000170,Does not apply,0
E01000170,No cars or vans in household,150
E01000170,1 or more cars or vans in household,547
E01000171,Does not apply,0
E01000171,No cars or vans in household,357
E01000171,1 or more cars or vans in household,640
E01000172,Does not apply,0
E01000172,No cars or vans in household,66
E01000172,1 or more cars or vans in household,541
E01000173,Does not apply,0
E01000173,No cars or vans in household,89
E01000173,1 or more cars or vans in household,519
E01000174,Does not apply,0
E01000174,No cars or vans in household,270
E01000174,1 or more cars or vans in household,492
E01000175,Does not apply,0
E01000175,No cars or vans in household,81
E01000175,1 or more cars or vans in household,562
E01000176,Does not apply,0
E01000176,No cars or vans in household,292
E01000176,1 or more cars or vans in household,428
E01000177,Does not apply,0
E01000177,No cars or vans in household,210
E01000177,1 or more cars or vans in household,480
E01000178,Does not apply,0
E01000178,No cars or vans in household,223
E01000178,1 or more cars or vans in household,454
E01000179,Does not apply,0
E01000179,No cars or vans in household,230
E01000179,1 or more cars or vans in household,541
E01000180,Does not apply,0
E01000180,No cars or vans in household,256
E01000180,1 or more cars or vans in household,413
E01000181,Does not apply,0
E01000181,No cars or vans in household,235
E01000181,1 or more cars or vans in household,450
E01000182,Does not apply,0
E01000182,No cars or vans in household,294
E01000182,1 or more cars or vans in household,437
E01000183,Does not apply,0
E01000183,No cars or vans in household,180
E01000183,1 or more cars or vans in household,423
E01000184,Does not apply,0
E01000184,No cars or vans in household,291
E01000184,1 or more cars or vans in household,419
E01000185,Does not apply,0
E01000185,No cars or vans in household,318
E01000185,1 or more cars or vans in household,325
E01000186,Does not apply,0
E01000186,No cars or vans in household,34
E01000186,1 or more cars or vans in household,476
E01000187,Does not apply,0
E01000187,No cars or vans in household,138
E01000187,1 or more cars or vans in household,455
E01000188,Does not apply,0
E01000188,No cars or vans in household,34
E01000188,1 or more cars or vans in household,475
E01000189,Does not apply,0
E01000189,No cars or vans in household,263
E01000189,1 or more cars or vans in household,718
E01000190,Does not apply,0
E01000190,No cars or vans in household,84
E01000190,1 or more cars or vans in household,485
E01000191,Does not apply,0
E01000191,No cars or vans in household,76
E01000191,1 or more cars or vans in household,480
E01000192,Does not apply,0
E01000192,No cars or vans in household,220
E01000192,1 or more cars or vans in household,490
E01000193,Does not apply,0
E01000193,No cars or vans in household,240
E01000193,1 or more cars or vans in household,472
E01000194,Does not apply,0
E01000194,No cars or vans in household,262
E01000194,1 or more cars or vans in household,442
E01000195,Does not apply,0
E01000195,No cars or vans in household,250
E01000195,1 or more cars or vans in household,468
E01000196,Does not apply,0
E01000196,No cars or vans in household,517
E01000196,1 or more cars or vans in household,575
E01000197,Does not apply,0
E01000197,No cars or vans in household,268
E01000197,1 or more cars or vans in household,463
E01000198,Does not apply,0
E01000198,No cars or vans in household,122
E01000198,1 or more cars or vans in household,657
E01000199,Does not apply,0
E01000199,No cars or vans in household,98
E01000199,1 or more cars or vans in household,559
E01000200,Does not apply,0
E01000200,No cars or vans in household,214
E01000200,1 or more cars or vans in household,661
E01000201,Does not apply,0
E01000201,No cars or vans in household,53
E01000201,1 or more cars or vans in household,475
E01000202,Does not apply,0
E01000202,No cars or vans in household,133
E01000202,1 or more cars or vans in household,483
E01000203,Does not apply,0
E01000203,No cars or vans in household,184
E01000203,1 or more cars or vans in household,500
E01000204,Does not apply,0
E01000204,No cars or vans in household,177
E01000204,1 or more cars or vans in household,516
E01000205,Does not apply,0
E01000205,No cars or vans in household,96
E01000205,1 or more cars or vans in household,508
E01000206,Does not apply,0
E01000206,No cars or vans in household,62
E01000206,1 or more cars or vans in household,461
E01000207,Does not apply,0
E01000207,No cars or vans in household,136
E01000207,1 or more cars or vans in household,508
E01000208,Does not apply,0
E01000208,No cars or vans in household,121
E01000208,1 or more cars or vans in household,513
E01000209,Does not apply,0
E01000209,No cars or vans in household,215
E01000209,1 or more cars or vans in household,527
E01000210,Does not apply,0
E01000210,No cars or vans in household,113
E01000210,1 or more cars or vans in household,472
E01000211,Does not apply,0
E01000211,No cars or vans in household,470
E01000211,1 or more cars or vans in household,455
E01000212,Does not apply,0
E01000212,No cars or vans in household,163
E01000212,1 or more cars or vans in household,389
E01000213,Does not apply,0
E01000213,No cars or vans in household,55
E01000213,1 or more cars or vans in household,398
E01000214,Does not apply,0
E01000214,No cars or vans in household,281
E01000214,1 or more cars or vans in household,491
E01000215,Does not apply,0
E01000215,No cars or vans in household,229
E01000215,1 or more cars or vans in household,478
E01000216,Does not apply,0
E01000216,No cars or vans in household,243
E01000216,1 or more cars or vans in household,478
E01000217,Does not apply,0
E01000217,No cars or vans in household,121
E01000217,1 or more cars or vans in household,432
E01000218,Does not apply,0
E01000218,No cars or vans in household,200
E01000218,1 or more cars or vans in household,383
E01000219,Does not apply,0
E01000219,No cars or vans in household,228
E01000219,1 or more cars or vans in household,432
E01000220,Does not apply,0
E01000220,No cars or vans in household,283
E01000220,1 or more cars or vans in household,397
E01000221,Does not apply,0
E01000221,No cars or vans in household,258
E01000221,1 or more cars or vans in household,270
E01000222,Does not apply,0
E01000222,No cars or vans in household,270
E01000222,1 or more cars or vans in household,460
E01000223,Does not apply,0
E01000223,No cars or vans in household,284
E01000223,1 or more cars or vans in household,462
E01000224,Does not apply,0
E01000224,No cars or vans in household,165
E01000224,1 or more cars or vans in household,393
E01000225,Does not apply,0
E01000225,No cars or vans in household,134
E01000225,1 or more cars or vans in household,446
E01000226,Does not apply,0
E01000226,No cars or vans in household,191
E01000226,1 or more cars or vans in household,410
E01000227,Does not apply,0
E01000227,No cars or vans in household,71
E01000227,1 or more cars or vans in household,528
E01000228,Does not apply,0
E01000228,No cars or vans in household,46
E01000228,1 or more cars or vans in household,415
E01000229,Does not apply,0
E01000229,No cars or vans in household,134
E01000229,1 or more cars or vans in household,450
E01000230,Does not apply,0
E01000230,No cars or vans in household,104
E01000230,1 or more cars or vans in household,555
E01000231,Does not apply,0
E01000231,No cars or vans in household,100
E01000231,1 or more cars or vans in household,519
E01000232,Does not apply,0
E01000232,No cars or vans in household,123
E01000232,1 or more cars or vans in household,582
E01000233,Does not apply,0
E01000233,No cars or vans in household,101
E01000233,1 or more cars or vans in household,557
E01000234,Does not apply,0
E01000234,No cars or vans in household,128
E01000234,1 or more cars or vans in household,546
E01000235,Does not apply,0
E01000235,No cars or vans in household,191
E01000235,1 or more cars or vans in household,464
E01000236,Does not apply,0
E01000236,No cars or vans in household,198
E01000236,1 or more cars or vans in household,500
E01000237,Does not apply,0
E01000237,No cars or vans in household,262
E01000237,1 or more cars or vans in household,465
E01000238,Does not apply,0
E01000238,No cars or vans in household,175
E01000238,1 or more cars or vans in household,468
E01000239,Does not apply,0
E01000239,No cars or vans in household,376
E01000239,1 or more cars or vans in household,558
E01000240,Does not apply,0
E01000240,No cars or vans in household,158
E01000240,1 or more cars or vans in household,468
E01000241,Does not apply,0
E01000241,No cars or vans in household,183
E01000241,1 or more cars or vans in household,519
E01000242,Does not apply,0
E01000242,No cars or vans in household,123
E01000242,1 or more cars or vans in household,472
E01000243,Does not apply,0
E01000243,No cars or vans in household,418
E01000243,1 or more cars or vans in household,484
E01000244,Does not apply,0
E01000244,No cars or vans in household,283
E01000244,1 or more cars or vans in household,342
E01000245,Does not apply,0
E01000245,No cars or vans in household,459
E01000245,1 or more cars or vans in household,418
E01000246,Does not apply,0
E01000246,No cars or vans in household,108
E01000246,1 or more cars or vans in household,535
E01000247,Does not apply,0
E01000247,No cars or vans in household,169
E01000247,1 or more cars or vans in household,562
E01000248,Does not apply,0
E01000248,No cars or vans in household,186
E01000248,1 or more cars or vans in household,531
E01000249,Does not apply,0
E01000249,No cars or vans in household,85
E01000249,1 or more cars or vans in household,534
E01000250,Does not apply,0
E01000250,No cars or vans in household,382
E01000250,1 or more cars or vans in household,762
E01000251,Does not apply,0
E01000251,No cars or vans in household,370
E01000251,1 or more cars or vans in household,687
E01000252,Does not apply,0
E01000252,No cars or vans in household,219
E01000252,1 or more cars or vans in household,571
E01000253,Does not apply,0
E01000253,No cars or vans in household,55
E01000253,1 or more cars or vans in household,654
E01000254,Does not apply,0
E01000254,No cars or vans in household,96
E01000254,1 or more cars or vans in household,537
E01000255,Does not apply,0
E01000255,No cars or vans in household,130
E01000255,1 or more cars or vans in household,502
E01000256,Does not apply,0
E01000256,No cars or vans in household,119
E01000256,1 or more cars or vans in household,558
E01000257,Does not apply,0
E01000257,No cars or vans in household,326
E01000257,1 or more cars or vans in household,586
E01000258,Does not apply,0
E01000258,No cars or vans in household,147
E01000258,1 or more cars or vans in household,634
E01000259,Does not apply,0
E01000259,No cars or vans in household,170
E01000259,1 or more cars or vans in household,810
E01000260,Does not apply,0
E01000260,No cars or vans in household,191
E01000260,1 or more cars or vans in household,649
E01000261,Does not apply,0
E01000261,No cars or vans in household,128
E01000261,1 or more cars or vans in household,549
E01000263,Does not apply,0
E01000263,No cars or vans in household,27
E01000263,1 or more cars or vans in household,474
E01000264,Does not apply,0
E01000264,No cars or vans in household,196
E01000264,1 or more cars or vans in household,519
E01000265,Does not apply,0
E01000265,No cars or vans in household,230
E01000265,1 or more cars or vans in household,541
E01000266,Does not apply,0
E01000266,No cars or vans in household,43
E01000266,1 or more cars or vans in household,464
E01000267,Does not apply,0
E01000267,No cars or vans in household,84
E01000267,1 or more cars or vans in household,495
E01000268,Does not apply,0
E01000268,No cars or vans in household,318
E01000268,1 or more cars or vans in household,613
E01000269,Does not apply,0
E01000269,No cars or vans in household,93
E01000269,1 or more cars or vans in household,452
E01000270,Does not apply,0
E01000270,No cars or vans in household,116
E01000270,1 or more cars or vans in household,519
E01000271,Does not apply,0
E01000271,No cars or vans in household,107
E01000271,1 or more cars or vans in household,506
E01000272,Does not apply,0
E01000272,No cars or vans in household,43
E01000272,1 or more cars or vans in household,455
E01000273,Does not apply,0
E01000273,No cars or vans in household,217
E01000273,1 or more cars or vans in household,523
E01000274,Does not apply,0
E01000274,No cars or vans in household,168
E01000274,1 or more cars or vans in household,530
E01000275,Does not apply,0
E01000275,No cars or vans in household,122
E01000275,1 or more cars or vans in household,544
E01000276,Does not apply,0
E01000276,No cars or vans in household,42
E01000276,1 or more cars or vans in household,454
E01000277,Does not apply,0
E01000277,No cars or vans in household,328
E01000277,1 or more cars or vans in household,416
E01000278,Does not apply,0
E01000278,No cars or vans in household,39
E01000278,1 or more cars or vans in household,467
E01000279,Does not apply,0
E01000279,No cars or vans in household,27
E01000279,1 or more cars or vans in household,481
E01000280,Does not apply,0
E01000280,No cars or vans in household,39
E01000280,1 or more cars or vans in household,469
E01000281,Does not apply,0
E01000281,No cars or vans in household,219
E01000281,1 or more cars or vans in household,563
E01000282,Does not apply,0
E01000282,No cars or vans in household,123
E01000282,1 or more cars or vans in household,569
E01000283,Does not apply,0
E01000283,No cars or vans in household,41
E01000283,1 or more cars or vans in household,435
E01000284,Does not apply,0
E01000284,No cars or vans in household,272
E01000284,1 or more cars or vans in household,541
E01000285,Does not apply,0
E01000285,No cars or vans in household,142
E01000285,1 or more cars or vans in household,470
E01000286,Does not apply,0
E01000286,No cars or vans in household,164
E01000286,1 or more cars or vans in household,502
E01000287,Does not apply,0
E01000287,No cars or vans in household,174
E01000287,1 or more cars or vans in household,437
E01000288,Does not apply,0
E01000288,No cars or vans in household,109
E01000288,1 or more cars or vans in household,455
E01000289,Does not apply,0
E01000289,No cars or vans in household,176
E01000289,1 or more cars or vans in household,375
E01000290,Does not apply,0
E01000290,No cars or vans in household,129
E01000290,1 or more cars or vans in household,540
E01000291,Does not apply,0
E01000291,No cars or vans in household,182
E01000291,1 or more cars or vans in household,437
E01000292,Does not apply,0
E01000292,No cars or vans in household,165
E01000292,1 or more cars or vans in household,492
E01000293,Does not apply,0
E01000293,No cars or vans in household,172
E01000293,1 or more cars or vans in household,535
E01000294,Does not apply,0
E01000294,No cars or vans in household,189
E01000294,1 or more cars or vans in household,542
E01000295,Does not apply,0
E01000295,No cars or vans in household,203
E01000295,1 or more cars or vans in household,444
E01000296,Does not apply,0
E01000296,No cars or vans in household,319
E01000296,1 or more cars or vans in household,448
E01000297,Does not apply,0
E01000297,No cars or vans in household,164
E01000297,1 or more cars or vans in household,376
E01000298,Does not apply,0
E01000298,No cars or vans in household,276
E01000298,1 or more cars or vans in household,457
E01000299,Does not apply,0
E01000299,No cars or vans in household,393
E01000299,1 or more cars or vans in household,511
E01000300,Does not apply,0
E01000300,No cars or vans in household,209
E01000300,1 or more cars or vans in household,472
E01000301,Does not apply,0
E01000301,No cars or vans in household,100
E01000301,1 or more cars or vans in household,430
E01000302,Does not apply,0
E01000302,No cars or vans in household,395
E01000302,1 or more cars or vans in household,443
E01000303,Does not apply,0
E01000303,No cars or vans in household,117
E01000303,1 or more cars or vans in household,417
E01000304,Does not apply,0
