Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01000095,Economically active: In employment (including full-time students),954
E01000095,Economically active: Unemployed (including full-time students),83
E01000095,Economically inactive,473
E01000096,Does not apply,553
E01000096,Economically active: In employment (including full-time students),605
E01000096,Economically active: Unemployed (including full-time students),77
E01000096,Economically inactive,423
E01000097,Does not apply,482
E01000097,Economically active: In employment (including full-time students),794
E01000097,Economically active: Unemployed (including full-time students),62
E01000097,Economically inactive,595
E01000098,Does not apply,535
E01000098,Economically active: In employment (including full-time students),790
E01000098,Economically active: Unemployed (including full-time students),59
E01000098,Economically inactive,554
E01000099,Does not apply,757
E01000099,Economically active: In employment (including full-time students),1297
E01000099,Economically active: Unemployed (including full-time students),111
E01000099,Economically inactive,611
E01000100,Does not apply,531
E01000100,Economically active: In employment (including full-time students),813
E01000100,Economically active: Unemployed (including full-time students),73
E01000100,Economically inactive,525
E01000101,Does not apply,403
E01000101,Economically active: In employment (including full-time students),738
E01000101,Economically active: Unemployed (including full-time students),69
E01000101,Economically inactive,491
E01000102,Does not apply,488
E01000102,Economically active: In employment (including full-time students),751
E01000102,Economically active: Unemployed (including full-time students),64
E01000102,Economically inactive,481
E01000103,Does not apply,456
E01000103,Economically active: In employment (including full-time students),806
E01000103,Economically active: Unemployed (including full-time students),109
E01000103,Economically inactive,401
E01000104,Does not apply,527
E01000104,Economically active: In employment (including full-time students),821
E01000104,Economically active: Unemployed (including full-time students),77
E01000104,Economically inactive,490
E01000105,Does not apply,587
E01000105,Economically active: In employment (including full-time students),1021
E01000105,Economically active: Unemployed (including full-time students),108
E01000105,Economically inactive,616
E01000106,Does not apply,630
E01000106,Economically active: In employment (including full-time students),865
E01000106,Economically active: Unemployed (including full-time students),100
E01000106,Economically inactive,612
E01000107,Does not apply,416
E01000107,Economically active: In employment (including full-time students),736
E01000107,Economically active: Unemployed (including full-time students),73
E01000107,Economically inactive,561
E01000108,Does not apply,485
E01000108,Economically active: In employment (including full-time students),854
E01000108,Economically active: Unemployed (including full-time students),66
E01000108,Economically inactive,510
E01000110,Does not apply,348
E01000110,Economically active: In employment (including full-time students),741
E01000110,Economically active: Unemployed (including full-time students),61
E01000110,Economically inactive,423
E01000111,Does not apply,541
E01000111,Economically active: In employment (including full-time students),962
E01000111,Economically active: Unemployed (including full-time students),74
E01000111,Economically inactive,578
E01000112,Does not apply,466
E01000112,Economically active: In employment (including full-time students),918
E01000112,Economically active: Unemployed (including full-time students),74
E01000112,Economically inactive,515
E01000113,Does not apply,474
E01000113,Economically active: In employment (including full-time students),945
E01000113,Economically active: Unemployed (including full-time students),57
E01000113,Economically inactive,519
E01000114,Does not apply,715
E01000114,Economically active: In employment (including full-time students),1036
E01000114,Economically active: Unemployed (including full-time students),68
E01000114,Economically inactive,601
E01000115,Does not apply,223
E01000115,Economically active: In employment (including full-time students),672
E01000115,Economically active: Unemployed (including full-time students),39
E01000115,Economically inactive,459
E01000116,Does not apply,384
E01000116,Economically active: In employment (including full-time students),831
E01000116,Economically active: Unemployed (including full-time students),41
E01000116,Economically inactive,489
E01000117,Does not apply,335
E01000117,Economically active: In employment (including full-time students),817
E01000117,Economically active: Unemployed (including full-time students),34
E01000117,Economically inactive,550
E01000118,Does not apply,405
E01000118,Economically active: In employment (including full-time students),1000
E01000118,Economically active: Unemployed (including full-time students),61
E01000118,Economically inactive,583
E01000119,Does not apply,330
E01000119,Economically active: In employment (including full-time students),844
E01000119,Economically active: Unemployed (including full-time students),43
E01000119,Economically inactive,577
E01000120,Does not apply,271
E01000120,Economically active: In employment (including full-time students),709
E01000120,Economically active: Unemployed (including full-time students),60
E01000120,Economically inactive,455
E01000121,Does not apply,269
E01000121,Economically active: In employment (including full-time students),631
E01000121,Economically active: Unemployed (including full-time students),67
E01000121,Economically inactive,512
E01000122,Does not apply,308
E01000122,Economically active: In employment (including full-time students),736
E01000122,Economically active: Unemployed (including full-time students),32
E01000122,Economically inactive,433
E01000123,Does not apply,336
E01000123,Economically active: In employment (including full-time students),973
E01000123,Economically active: Unemployed (including full-time students),48
E01000123,Economically inactive,403
E01000124,Does not apply,401
E01000124,Economically active: In employment (including full-time students),871
E01000124,Economically active: Unemployed (including full-time students),71
E01000124,Economically inactive,524
E01000126,Does not apply,460
E01000126,Economically active: In employment (including full-time students),1017
E01000126,Economically active: Unemployed (including full-time students),123
E01000126,Economically inactive,674
E01000127,Does not apply,361
E01000127,Economically active: In employment (including full-time students),692
E01000127,Economically active: Unemployed (including full-time students),57
E01000127,Economically inactive,447
E01000128,Does not apply,443
E01000128,Economically active: In employment (including full-time students),914
E01000128,Economically active: Unemployed (including full-time students),78
E01000128,Economically inactive,614
E01000129,Does not apply,341
E01000129,Economically active: In employment (including full-time students),719
E01000129,Economically active: Unemployed (including full-time students),69
E01000129,Economically inactive,475
E01000130,Does not apply,409
E01000130,Economically active: In employment (including full-time students),923
E01000130,Economically active: Unemployed (including full-time students),130
E01000130,Economically inactive,477
E01000131,Does not apply,420
E01000131,Economically active: In employment (including full-time students),961
E01000131,Economically active: Unemployed (including full-time students),68
E01000131,Economically inactive,572
E01000132,Does not apply,409
E01000132,Economically active: In employment (including full-time students),736
E01000132,Economically active: Unemployed (including full-time students),83
E01000132,Economically inactive,389
E01000133,Does not apply,369
E01000133,Economically active: In employment (including full-time students),735
E01000133,Economically active: Unemployed (including full-time students),52
E01000133,Economically inactive,489
E01000134,Does not apply,406
E01000134,Economically active: In employment (including full-time students),804
E01000134,Economically active: Unemployed (including full-time students),76
E01000134,Economically inactive,538
E01000135,Does not apply,312
E01000135,Economically active: In employment (including full-time students),781
E01000135,Economically active: Unemployed (including full-time students),41
E01000135,Economically inactive,565
E01000136,Does not apply,314
E01000136,Economically active: In employment (including full-time students),666
E01000136,Economically active: Unemployed (including full-time students),33
E01000136,Economically inactive,473
E01000137,Does not apply,411
E01000137,Economically active: In employment (including full-time students),688
E01000137,Economically active: Unemployed (including full-time students),81
E01000137,Economically inactive,480
E01000138,Does not apply,286
E01000138,Economically active: In employment (including full-time students),759
E01000138,Economically active: Unemployed (including full-time students),65
E01000138,Economically inactive,508
E01000139,Does not apply,239
E01000139,Economically active: In employment (including full-time students),720
E01000139,Economically active: Unemployed (including full-time students),55
E01000139,Economically inactive,374
E01000140,Does not apply,331
E01000140,Economically active: In employment (including full-time students),1035
E01000140,Economically active: Unemployed (including full-time students),54
E01000140,Economically inactive,537
E01000141,Does not apply,298
E01000141,Economically active: In employment (including full-time students),999
E01000141,Economically active: Unemployed (including full-time students),107
E01000141,Economically inactive,458
E01000142,Does not apply,429
E01000142,Economically active: In employment (including full-time students),1073
E01000142,Economically active: Unemployed (including full-time students),108
E01000142,Economically inactive,626
E01000143,Does not apply,358
E01000143,Economically active: In employment (including full-time students),749
E01000143,Economically active: Unemployed (including full-time students),85
E01000143,Economically inactive,479
E01000144,Does not apply,311
E01000144,Economically active: In employment (including full-time students),816
E01000144,Economically active: Unemployed (including full-time students),69
E01000144,Economically inactive,466
E01000145,Does not apply,433
E01000145,Economically active: In employment (including full-time students),651
E01000145,Economically active: Unemployed (including full-time students),51
E01000145,Economically inactive,481
E01000146,Does not apply,283
E01000146,Economically active: In employment (including full-time students),1023
E01000146,Economically active: Unemployed (including full-time students),65
E01000146,Economically inactive,501
E01000147,Does not apply,303
E01000147,Economically active: In employment (including full-time students),969
E01000147,Economically active: Unemployed (including full-time students),51
E01000147,Economically inactive,590
E01000150,Does not apply,466
E01000150,Economically active: In employment (including full-time students),1137
E01000150,Economically active: Unemployed (including full-time students),84
E01000150,Economically inactive,569
E01000151,Does not apply,515
E01000151,Economically active: In employment (including full-time students),589
E01000151,Economically active: Unemployed (including full-time students),78
E01000151,Economically inactive,539
E01000152,Does not apply,712
E01000152,Economically active: In employment (including full-time students),1320
E01000152,Economically active: Unemployed (including full-time students),109
E01000152,Economically inactive,552
E01000153,Does not apply,440
E01000153,Economically active: In employment (including full-time students),828
E01000153,Economically active: Unemployed (including full-time students),75
E01000153,Economically inactive,587
E01000154,Does not apply,385
E01000154,Economically active: In employment (including full-time students),897
E01000154,Economically active: Unemployed (including full-time students),127
E01000154,Economically inactive,506
E01000156,Does not apply,495
E01000156,Economically active: In employment (including full-time students),1008
E01000156,Economically active: Unemployed (including full-time students),70
E01000156,Economically inactive,453
E01000157,Does not apply,364
E01000157,Economically active: In employment (including full-time students),810
E01000157,Economically active: Unemployed (including full-time students),64
E01000157,Economically inactive,344
E01000158,Does not apply,302
E01000158,Economically active: In employment (including full-time students),743
E01000158,Economically active: Unemployed (including full-time students),46
E01000158,Economically inactive,373
E01000159,Does not apply,319
E01000159,Economically active: In employment (including full-time students),885
E01000159,Economically active: Unemployed (including full-time students),43
E01000159,Economically inactive,538
E01000160,Does not apply,377
E01000160,Economically active: In employment (including full-time students),1060
E01000160,Economically active: Unemployed (including full-time students),61
E01000160,Economically inactive,454
E01000161,Does not apply,407
E01000161,Economically active: In employment (including full-time students),934
E01000161,Economically active: Unemployed (including full-time students),54
E01000161,Economically inactive,638
E01000162,Does not apply,289
E01000162,Economically active: In employment (including full-time students),700
E01000162,Economically active: Unemployed (including full-time students),56
E01000162,Economically inactive,605
E01000163,Does not apply,360
E01000163,Economically active: In employment (including full-time students),767
E01000163,Economically active: Unemployed (including full-time students),93
E01000163,Economically inactive,473
E01000164,Does not apply,370
E01000164,Economically active: In employment (including full-time students),771
E01000164,Economically active: Unemployed (including full-time students),82
E01000164,Economically inactive,489
E01000165,Does not apply,345
E01000165,Economically active: In employment (including full-time students),846
E01000165,Economically active: Unemployed (including full-time students),55
E01000165,Economically inactive,566
E01000166,Does not apply,316
E01000166,Economically active: In employment (including full-time students),713
E01000166,Economically active: Unemployed (including full-time students),56
E01000166,Economically inactive,535
E01000167,Does not apply,289
E01000167,Economically active: In employment (including full-time students),665
E01000167,Economically active: Unemployed (including full-time students),55
E01000167,Economically inactive,380
E01000168,Does not apply,236
E01000168,Economically active: In employment (including full-time students),703
E01000168,Economically active: Unemployed (including full-time students),33
E01000168,Economically inactive,544
E01000169,Does not apply,322
E01000169,Economically active: In employment (including full-time students),827
E01000169,Economically active: Unemployed (including full-time students),48
E01000169,Economically inactive,434
E01000170,Does not apply,394
E01000170,Economically active: In employment (including full-time students),906
E01000170,Economically active: Unemployed (including full-time students),78
E01000170,Economically inactive,529
E01000171,Does not apply,558
E01000171,Economically active: In employment (including full-time students),1065
E01000171,Economically active: Unemployed (including full-time students),120
E01000171,Economically inactive,548
E01000172,Does not apply,367
E01000172,Economically active: In employment (including full-time students),734
E01000172,Economically active: Unemployed (including full-time students),37
E01000172,Economically inactive,552
E01000173,Does not apply,389
E01000173,Economically active: In employment (including full-time students),818
E01000173,Economically active: Unemployed (including full-time students),47
E01000173,Economically inactive,435
E01000174,Does not apply,378
E01000174,Economically active: In employment (including full-time students),811
E01000174,Economically active: Unemployed (including full-time students),60
E01000174,Economically inactive,510
E01000175,Does not apply,521
E01000175,Economically active: In employment (including full-time students),1023
E01000175,Economically active: Unemployed (including full-time students),60
E01000175,Economically inactive,427
E01000176,Does not apply,244
E01000176,Economically active: In employment (including full-time students),741
E01000176,Economically active: Unemployed (including full-time students),111
E01000176,Economically inactive,626
E01000177,Does not apply,385
E01000177,Economically active: In employment (including full-time students),865
E01000177,Economically active: Unemployed (including full-time students),49
E01000177,Economically inactive,363
E01000178,Does not apply,363
E01000178,Economically active: In employment (including full-time students),811
E01000178,Economically active: Unemployed (including full-time students),50
E01000178,Economically inactive,448
E01000179,Does not apply,387
E01000179,Economically active: In employment (including full-time students),1022
E01000179,Economically active: Unemployed (including full-time students),42
E01000179,Economically inactive,338
E01000180,Does not apply,314
E01000180,Economically active: In employment (including full-time students),758
E01000180,Economically active: Unemployed (including full-time students),61
E01000180,Economically inactive,483
E01000181,Does not apply,287
E01000181,Economically active: In employment (including full-time students),964
E01000181,Economically active: Unemployed (including full-time students),49
E01000181,Economically inactive,388
E01000182,Does not apply,263
E01000182,Economically active: In employment (including full-time students),884
E01000182,Economically active: Unemployed (including full-time students),54
E01000182,Economically inactive,418
E01000183,Does not apply,320
E01000183,Economically active: In employment (including full-time students),670
E01000183,Economically active: Unemployed (including full-time students),48
E01000183,Economically inactive,484
E01000184,Does not apply,358
E01000184,Economically active: In employment (including full-time students),822
E01000184,Economically active: Unemployed (including full-time students),116
E01000184,Economically inactive,577
E01000185,Does not apply,241
E01000185,Economically active: In employment (including full-time students),636
E01000185,Economically active: Unemployed (including full-time students),101
E01000185,Economically inactive,496
E01000186,Does not apply,459
E01000186,Economically active: In employment (including full-time students),843
E01000186,Economically active: Unemployed (including full-time students),39
E01000186,Economically inactive,430
E01000187,Does not apply,484
E01000187,Economically active: In employment (including full-time students),707
E01000187,Economically active: Unemployed (including full-time students),52
E01000187,Economically inactive,494
E01000188,Does not apply,373
E01000188,Economically active: In employment (including full-time students),727
E01000188,Economically active: Unemployed (including full-time students),30
E01000188,Economically inactive,448
E01000189,Does not apply,570
E01000189,Economically active: In employment (including full-time students),1243
E01000189,Economically active: Unemployed (including full-time students),116
E01000189,Economically inactive,540
E01000190,Does not apply,384
E01000190,Economically active: In employment (including full-time students),792
E01000190,Economically active: Unemployed (including full-time students),58
E01000190,Economically inactive,497
E01000191,Does not apply,353
E01000191,Economically active: In employment (including full-time students),670
E01000191,Economically active: Unemployed (including full-time students),37
E01000191,Economically inactive,489
E01000192,Does not apply,450
E01000192,Economically active: In employment (including full-time students),951
E01000192,Economically active: Unemployed (including full-time students),44
E01000192,Economically inactive,552
E01000193,Does not apply,360
E01000193,Economically active: In employment (including full-time students),961
E01000193,Economically active: Unemployed (including full-time students),74
E01000193,Economically inactive,552
E01000194,Does not apply,455
E01000194,Economically active: In employment (including full-time students),853
E01000194,Economically active: Unemployed (including full-time students),75
E01000194,Economically inactive,522
E01000195,Does not apply,502
E01000195,Economically active: In employment (including full-time students),886
E01000195,Economically active: Unemployed (including full-time students),72
E01000195,Economically inactive,559
E01000196,Does not apply,303
E01000196,Economically active: In employment (including full-time students),1103
E01000196,Economically active: Unemployed (including full-time students),149
E01000196,Economically inactive,569
E01000197,Does not apply,358
E01000197,Economically active: In employment (including full-time students),1009
E01000197,Economically active: Unemployed (including full-time students),70
E01000197,Economically inactive,414
E01000198,Does not apply,578
E01000198,Economically active: In employment (including full-time students),976
E01000198,Economically active: Unemployed (including full-time students),60
E01000198,Economically inactive,580
E01000199,Does not apply,292
E01000199,Economically active: In employment (including full-time students),699
E01000199,Economically active: Unemployed (including full-time students),40
E01000199,Economically inactive,548
E01000200,Does not apply,360
E01000200,Economically active: In employment (including full-time students),873
E01000200,Economically active: Unemployed (including full-time students),51
E01000200,Economically inactive,694
E01000201,Does not apply,314
E01000201,Economically active: In employment (including full-time students),703
E01000201,Economically active: Unemployed (including full-time students),24
E01000201,Economically inactive,501
E01000202,Does not apply,319
E01000202,Economically active: In employment (including full-time students),863
E01000202,Economically active: Unemployed (including full-time students),47
E01000202,Economically inactive,444
E01000203,Does not apply,372
E01000203,Economically active: In employment (including full-time students),799
